1,2,29
1,2,28
1,2,27
1,2,16
1,2,25
1,2,28
1,2,17
1,2,15
1,2,30
1,2,16
1,2,16
1,2,31
1,2,19
1,2,19
1,3,27
1,3,19
1,3,15
1,3,13
1,3,12
1,3,26
1,3,17
1,3,16
1,3,15
1,3,17
1,3,31
1,3,21
1,3,19
1,3,23
1,3,18
1,3,29
1,3,34
1,3,28
1,3,21
1,3,18
1,4,25
1,4,15
1,4,15
1,4,18
1,4,16
1,4,27
1,4,18
1,4,19
1,4,14
1,4,19
1,4,27
1,4,17
1,4,33
1,4,18
1,4,15
1,4,26
1,4,21
1,4,16
1,4,13
1,4,12
1,4,29
1,4,22
1,4,17
1,4,15
1,4,15
1,4,15
1,4,29
1,4,18
1,4,19
1,4,15
1,4,13
1,4,14
1,4,31
1,4,18
1,4,14
1,4,14
1,4,16
1,4,19
1,4,14
1,4,10
1,4,10
1,4,8
1,4,9
1,4,27
1,4,17
1,4,16
1,4,15
1,4,18
1,4,17
1,4,13
1,4,10
1,4,14
1,4,8
1,4,7
1,4,25
1,4,16
1,4,19
1,4,15
1,4,13
1,4,15
1,4,15
1,4,12
1,4,12
1,4,10
1,4,13
1,4,24
1,4,23
1,4,24
1,4,20
1,4,16
1,4,15
1,4,14
1,4,11
1,4,42
1,4,16
1,4,14
1,4,52
1,4,20
1,4,21
1,4,18
1,4,15
1,4,23
1,4,16
1,4,15
1,4,13
1,4,10
1,4,46
1,4,25
1,4,17
1,4,16
1,4,15
1,4,16
1,4,15
1,4,14
1,4,13
1,4,12
1,4,10
1,4,10
1,4,33
1,4,19
1,4,18
1,4,15
1,4,16
1,4,16
1,4,17
1,4,18
1,4,14
1,4,13
1,4,56
1,4,29
1,4,17
1,4,17
1,4,15
1,4,20
1,4,22
1,4,20
1,4,14
1,4,11
1,4,11
1,4,11
1,4,30
1,4,20
1,4,20
1,4,18
1,4,14
1,4,14
1,4,15
1,4,12
1,4,19
1,4,14
1,4,13
1,4,26
1,4,24
1,4,25
1,4,21
1,4,17
1,4,13
1,4,12
1,4,11
1,4,10
1,4,9
1,4,10
1,4,29
1,4,19
1,4,17
1,4,16
1,4,19
1,4,15
1,4,14
1,4,17
1,4,15
1,4,11
1,4,13
1,4,72
1,4,34
1,4,22
1,4,21
1,4,26
1,4,19
1,4,16
1,4,13
1,4,14
1,4,12
1,4,10
1,4,20
1,4,37
1,4,23
1,4,18
1,4,16
1,4,14
1,4,18
1,4,13
1,4,11
1,4,9
1,4,9
1,4,18
1,4,18
1,4,18
1,4,14
1,4,16
1,4,14
1,4,13
1,4,12
1,4,11
1,4,10
1,4,10
1,4,18
1,4,19
1,4,17
1,4,15
1,4,15
1,4,16
1,4,15
1,4,12
1,4,11
1,4,11
1,4,9
1,4,18
1,4,18
1,4,17
1,4,14
1,4,14
1,4,13
1,4,12
1,4,12
1,4,11
1,4,9
1,4,9
1,4,19
1,4,17
1,4,15
1,4,14
1,4,16
1,4,14
1,4,13
1,4,12
1,4,11
1,4,10
